x_values,y_values
"['Bmin', 'A', 'G']",A
"['A', 'G', 'A']",Bmin
"['G', 'A', 'Bmin']",A
"['A', 'Bmin', 'A']",G
"['Bmin', 'A', 'G']",A
"['A', 'G', 'A']",Bmin
"['G', 'A', 'Bmin']",A
"['A', 'Bmin', 'A']",G
"['Bmin', 'A', 'G']",A
"['A', 'G', 'A']",Bmin
"['G', 'A', 'Bmin']",A
"['A', 'Bmin', 'A']",G
"['Bmin', 'A', 'G']",A
"['A', 'G', 'A']",Bmin
"['G', 'A', 'Bmin']",A
"['A', 'Bmin', 'A']",G
"['Bmin', 'A', 'G']",A
"['A', 'G', 'A']",Bmin
"['G', 'A', 'Bmin']",A
"['A', 'Bmin', 'A']",G
"['Bmin', 'A', 'G']",A
"['A', 'G', 'A']",Bmin
"['G', 'A', 'Bmin']",A
"['A', 'Bmin', 'A']",G
"['D7', 'C7', 'A7']",Gmin
"['C7', 'A7', 'Gmin']",F
"['A7', 'Gmin', 'F']",Amin
"['Gmin', 'F', 'Amin']",Bb
"['F', 'Amin', 'Bb']",G
"['Amin', 'Bb', 'G']",Bb
"['Bb', 'G', 'Bb']",C7
"['G', 'Bb', 'C7']",A7
"['Bb', 'C7', 'A7']",Gmin
"['C7', 'A7', 'Gmin']",F
"['A7', 'Gmin', 'F']",Amin
"['Gmin', 'F', 'Amin']",Bb
"['F', 'Amin', 'Bb']",G
"['Amin', 'Bb', 'G']",Bb
"['Bb', 'G', 'Bb']",Db
"['G', 'Bb', 'Db']",Ab
"['Bb', 'Db', 'Ab']",Bb
"['Db', 'Ab', 'Bb']",F
"['Ab', 'Bb', 'F']",Db
"['Bb', 'F', 'Db']",Ab
"['F', 'Db', 'Ab']",Bb
"['Db', 'Ab', 'Bb']",F
"['Ab', 'Bb', 'F']",D7
"['Bb', 'F', 'D7']",C7
"['F', 'D7', 'C7']",A7
"['D7', 'C7', 'A7']",Gmin
"['C7', 'A7', 'Gmin']",F
"['A7', 'Gmin', 'F']",Amin
"['Gmin', 'F', 'Amin']",Bb
"['F', 'Amin', 'Bb']",G
"['Amin', 'Bb', 'G']",Bb
"['Bb', 'G', 'Bb']",Db
"['G', 'Bb', 'Db']",Ab
"['Bb', 'Db', 'Ab']",Bb
"['Db', 'Ab', 'Bb']",F
"['Ab', 'Bb', 'F']",Db
"['Bb', 'F', 'Db']",Ab
"['F', 'Db', 'Ab']",Bb
"['Db', 'Ab', 'Bb']",F
"['Ab', 'Bb', 'F']",D7
"['Bb', 'F', 'D7']",C7
"['F', 'D7', 'C7']",E
"['D7', 'C7', 'E']",C
"['C7', 'E', 'C']",E
"['E', 'C', 'E']",C7
"['C', 'E', 'C7']",F
"['E', 'C7', 'F']",D7
"['C7', 'F', 'D7']",C7
"['F', 'D7', 'C7']",A7
"['D7', 'C7', 'A7']",Gmin
"['C7', 'A7', 'Gmin']",F
"['A7', 'Gmin', 'F']",Amin
"['Gmin', 'F', 'Amin']",Bb
"['F', 'Amin', 'Bb']",G
"['Amin', 'Bb', 'G']",Bb
"['Bb', 'G', 'Bb']",Db
"['G', 'Bb', 'Db']",Ab
"['Bb', 'Db', 'Ab']",Bb
"['Db', 'Ab', 'Bb']",F
"['Ab', 'Bb', 'F']",Db
"['Bb', 'F', 'Db']",Ab
"['F', 'Db', 'Ab']",Bb
"['Db', 'Ab', 'Bb']",F
"['Ab', 'Bb', 'F']",D7
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Emin', 'C', 'Amin']",Emin
"['C', 'Amin', 'Emin']",C
"['Amin', 'Emin', 'C']",Amin
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Cadd13
"['Cmaj7', 'Amin', 'Cadd13']",Aminadd9
"['Amin', 'Cadd13', 'Aminadd9']",Amin
"['Cadd13', 'Aminadd9', 'Amin']",Fmaj7
"['Aminadd9', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Cadd13
"['Cmaj7', 'Amin', 'Cadd13']",Aminadd9
"['Amin', 'Cadd13', 'Aminadd9']",Amin
"['Cadd13', 'Aminadd9', 'Amin']",Cadd13
"['Aminadd9', 'Amin', 'Cadd13']",Aminadd9
"['Amin', 'Cadd13', 'Aminadd9']",Amin
"['Cadd13', 'Aminadd9', 'Amin']",Fmaj7
"['Aminadd9', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Cadd13
"['Cmaj7', 'Amin', 'Cadd13']",Aminadd9
"['Amin', 'Cadd13', 'Aminadd9']",Amin
"['Cadd13', 'Aminadd9', 'Amin']",Cadd13
"['Aminadd9', 'Amin', 'Cadd13']",Aminadd9
"['Amin', 'Cadd13', 'Aminadd9']",Amin
"['Cadd13', 'Aminadd9', 'Amin']",Fmaj7
"['Aminadd9', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Fmaj7
"['Cmaj7', 'Amin', 'Fmaj7']",Cmaj7
"['Amin', 'Fmaj7', 'Cmaj7']",Amin
"['Fmaj7', 'Cmaj7', 'Amin']",Cadd13
"['Cmaj7', 'Amin', 'Cadd13']",Aminadd9
"['Amin', 'Cadd13', 'Aminadd9']",Amin
"['Cadd13', 'Aminadd9', 'Amin']",Cadd13
"['Aminadd9', 'Amin', 'Cadd13']",Aminadd9
"['Amin', 'Cadd13', 'Aminadd9']",Amin
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['Amin', 'C', 'G']",F
"['C', 'G', 'F']",Amin
"['G', 'F', 'Amin']",C
"['F', 'Amin', 'C']",G
"['G', 'C', 'D']",G
"['C', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",D
"['D', 'G', 'D']",C
"['G', 'D', 'C']",G
"['D', 'C', 'G']",D
"['C', 'G', 'D']",C
"['G', 'D', 'C']",G
"['D', 'C', 'G']",C
"['C', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",D
"['D', 'G', 'D']",C
"['G', 'D', 'C']",G
"['D', 'C', 'G']",D
"['C', 'G', 'D']",C
"['G', 'D', 'C']",G
"['D', 'C', 'G']",C
"['C', 'G', 'C']",G
"['G', 'C', 'G']",C
"['C', 'G', 'C']",G
"['G', 'C', 'G']",C
"['C', 'G', 'C']",C/B
"['G', 'C', 'C/B']",C/A
"['C', 'C/B', 'C/A']",C
"['C/B', 'C/A', 'C']",G
"['C/A', 'C', 'G']",C
"['C', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",D
"['D', 'G', 'D']",C
"['G', 'D', 'C']",G
"['D', 'C', 'G']",D
"['C', 'G', 'D']",C
"['G', 'D', 'C']",G
"['B', 'D', 'C#']",B
"['D', 'C#', 'B']",D
"['C#', 'B', 'D']",C#
"['B', 'D', 'C#']",B
"['D', 'C#', 'B']",D
"['C#', 'B', 'D']",C#
"['B', 'D', 'C#']",B
"['D', 'C#', 'B']",D
"['C#', 'B', 'D']",C#
"['B', 'D', 'C#']",A
"['D', 'C#', 'A']",G
"['C#', 'A', 'G']",B
"['A', 'G', 'B']",D
"['G', 'B', 'D']",C#
"['B', 'D', 'C#']",B
"['D', 'C#', 'B']",D
"['C#', 'B', 'D']",C#
"['B', 'D', 'C#']",B
"['D', 'C#', 'B']",D
"['C#', 'B', 'D']",C#
"['B', 'D', 'C#']",A
"['D', 'C#', 'A']",G
"['C#', 'A', 'G']",E
"['A', 'G', 'E']",B
"['G', 'E', 'B']",D
"['E', 'B', 'D']",B
"['B', 'D', 'B']",E
"['D', 'B', 'E']",B
"['B', 'E', 'B']",D
"['E', 'B', 'D']",B
"['B', 'D', 'B']",E
"['D', 'B', 'E']",B
"['B', 'E', 'B']",D
"['E', 'B', 'D']",B
"['B', 'D', 'B']",E
"['D', 'B', 'E']",G
"['B', 'E', 'G']",A
"['E', 'G', 'A']",B
"['G', 'A', 'B']",D
"['A', 'B', 'D']",C#
"['B', 'D', 'C#']",B
"['D', 'C#', 'B']",D
"['C#', 'B', 'D']",C#
"['B', 'D', 'C#']",B
"['D', 'C#', 'B']",D
"['C#', 'B', 'D']",C#
"['B', 'D', 'C#']",A
"['D', 'C#', 'A']",G
"['C#', 'A', 'G']",E
"['A', 'G', 'E']",B
"['G', 'E', 'B']",D
"['E', 'B', 'D']",B
"['B', 'D', 'B']",E
"['D', 'B', 'E']",B
"['B', 'E', 'B']",D
"['E', 'B', 'D']",B
"['B', 'D', 'B']",E
"['D', 'B', 'E']",B
"['B', 'E', 'B']",D
"['E', 'B', 'D']",B
"['B', 'D', 'B']",E
"['D', 'B', 'E']",G
"['B', 'E', 'G']",A
"['E', 'G', 'A']",B
"['G', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['B', 'A', 'B']",A
"['A', 'B', 'A']",B
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Bmin7
"['Amaj7', 'F#min', 'Bmin7']",E7
"['F#min', 'Bmin7', 'E7']",Bmin7
"['Bmin7', 'E7', 'Bmin7']",E7
"['E7', 'Bmin7', 'E7']",Amaj7
"['Bmin7', 'E7', 'Amaj7']",F#min
"['E7', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Bmin7
"['Amaj7', 'F#min', 'Bmin7']",E7
"['F#min', 'Bmin7', 'E7']",Bmin7
"['Bmin7', 'E7', 'Bmin7']",E7
"['E7', 'Bmin7', 'E7']",Amaj7
"['Bmin7', 'E7', 'Amaj7']",F#min
"['E7', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Bmin7
"['Amaj7', 'F#min', 'Bmin7']",E7
"['F#min', 'Bmin7', 'E7']",Bmin7
"['Bmin7', 'E7', 'Bmin7']",E7
"['E7', 'Bmin7', 'E7']",Amaj7
"['Bmin7', 'E7', 'Amaj7']",F#min
"['E7', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Bmin7
"['Amaj7', 'F#min', 'Bmin7']",E7
"['F#min', 'Bmin7', 'E7']",Bmin7
"['Bmin7', 'E7', 'Bmin7']",E7
"['E7', 'Bmin7', 'E7']",Amaj7
"['Bmin7', 'E7', 'Amaj7']",F#min
"['E7', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Bmin7
"['Amaj7', 'F#min', 'Bmin7']",E7
"['F#min', 'Bmin7', 'E7']",Bmin7
"['Bmin7', 'E7', 'Bmin7']",E7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Bmin7
"['Amaj7', 'F#min', 'Bmin7']",E7
"['F#min', 'Bmin7', 'E7']",Bmin7
"['Bmin7', 'E7', 'Bmin7']",E7
"['E7', 'Bmin7', 'E7']",Amaj7
"['Bmin7', 'E7', 'Amaj7']",F#min
"['E7', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Bmin7
"['Amaj7', 'F#min', 'Bmin7']",E7
"['F#min', 'Bmin7', 'E7']",Bmin7
"['Bmin7', 'E7', 'Bmin7']",E7
"['E7', 'Bmin7', 'E7']",Amaj7
"['Bmin7', 'E7', 'Amaj7']",F#min
"['E7', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Bmin7
"['Amaj7', 'F#min', 'Bmin7']",E7
"['F#min', 'Bmin7', 'E7']",Bmin7
"['Bmin7', 'E7', 'Bmin7']",E7
"['E7', 'Bmin7', 'E7']",Amaj7
"['Bmin7', 'E7', 'Amaj7']",F#min
"['E7', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Bmin7
"['Amaj7', 'F#min', 'Bmin7']",E7
"['F#min', 'Bmin7', 'E7']",Bmin7
"['Bmin7', 'E7', 'Bmin7']",E7
"['E7', 'Bmin7', 'E7']",Amaj7
"['Bmin7', 'E7', 'Amaj7']",F#min
"['E7', 'Amaj7', 'F#min']",Amaj7
"['Amaj7', 'F#min', 'Amaj7']",F#min
"['F#min', 'Amaj7', 'F#min']",Bmin7
"['Amaj7', 'F#min', 'Bmin7']",E7
"['F#min', 'Bmin7', 'E7']",Bmin7
"['Bmin7', 'E7', 'Bmin7']",E7
"['E7', 'Bmin7', 'E7']",Amaj7
"['G7', 'Fadd9', 'G7']",G7/D
"['Fadd9', 'G7', 'G7/D']",C
"['G7', 'G7/D', 'C']",Fadd9/G
"['G7/D', 'C', 'Fadd9/G']",G
"['C', 'Fadd9/G', 'G']",Dmin
"['Fadd9/G', 'G', 'Dmin']",F
"['G', 'Dmin', 'F']",G7#sus4
"['Dmin', 'F', 'G7#sus4']",G
"['F', 'G7#sus4', 'G']",Dmin
"['G7#sus4', 'G', 'Dmin']",Dmin7/C
"['G', 'Dmin', 'Dmin7/C']",G7#sus4
"['Dmin', 'Dmin7/C', 'G7#sus4']",G
"['Dmin7/C', 'G7#sus4', 'G']",Dmin
"['G7#sus4', 'G', 'Dmin']",F
"['G', 'Dmin', 'F']",G#sus4
"['Dmin', 'F', 'G#sus4']",G
"['F', 'G#sus4', 'G']",A#sus4
"['G#sus4', 'G', 'A#sus4']",Emin
"['G', 'A#sus4', 'Emin']",Emin7
"['A#sus4', 'Emin', 'Emin7']",D
"['Emin', 'Emin7', 'D']",A
"['Emin7', 'D', 'A']",Amin7
"['D', 'A', 'Amin7']",G
"['A', 'Amin7', 'G']",D#sus4
"['Amin7', 'G', 'D#sus4']",D
"['G', 'D#sus4', 'D']",Emin
"['D#sus4', 'D', 'Emin']",Emin7
"['D', 'Emin', 'Emin7']",D
"['Emin', 'Emin7', 'D']",A
"['Emin7', 'D', 'A']",Amin7
"['D', 'A', 'Amin7']",G
"['A', 'Amin7', 'G']",D#sus4
"['Amin7', 'G', 'D#sus4']",D
"['G', 'D#sus4', 'D']",Emin7
"['D#sus4', 'D', 'Emin7']",A
"['D', 'Emin7', 'A']",Cadd9
"['Emin7', 'A', 'Cadd9']",Emin7
"['A', 'Cadd9', 'Emin7']",A
"['Cadd9', 'Emin7', 'A']",Cadd9
"['Emin7', 'A', 'Cadd9']",A7#sus4/G
"['A', 'Cadd9', 'A7#sus4/G']",A7#sus4
"['Cadd9', 'A7#sus4/G', 'A7#sus4']",D#sus4/G
"['A7#sus4/G', 'A7#sus4', 'D#sus4/G']",A7/C#
"['A7#sus4', 'D#sus4/G', 'A7/C#']",Emin
"['D#sus4/G', 'A7/C#', 'Emin']",D
"['A7/C#', 'Emin', 'D']",A7#sus4
"['Emin', 'D', 'A7#sus4']",A7
"['D', 'A7#sus4', 'A7']",Emin
"['A7#sus4', 'A7', 'Emin']",Dadd11/G
"['A7', 'Emin', 'Dadd11/G']",A7#sus4
"['Emin', 'Dadd11/G', 'A7#sus4']",A
"['Dadd11/G', 'A7#sus4', 'A']",Emin
"['A7#sus4', 'A', 'Emin']",Emin7/D
"['A', 'Emin', 'Emin7/D']",A7#sus4
"['Emin', 'Emin7/D', 'A7#sus4']",A7
"['Emin7/D', 'A7#sus4', 'A7']",Emin
"['A7#sus4', 'A7', 'Emin']",G
"['A7', 'Emin', 'G']",A#sus4
"['Emin', 'G', 'A#sus4']",A7
"['G', 'A#sus4', 'A7']",B#sus4
"['A#sus4', 'A7', 'B#sus4']",Emin
"['A7', 'B#sus4', 'Emin']",Emin7
"['B#sus4', 'Emin', 'Emin7']",D
