x_values,y_values
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",Emin
"['A', 'D', 'Emin']",A
"['D', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",Emin
"['A', 'D', 'Emin']",A
"['D', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",Emin
"['A', 'D', 'Emin']",A
"['D', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",Emin
"['G', 'D/F#', 'Emin']",A
"['D/F#', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",Emin
"['D', 'G', 'Emin']",A
"['G', 'Emin', 'A']",D
"['Emin', 'A', 'D']",G
"['A', 'D', 'G']",D/F#
"['C', 'G', 'C']",G
"['G', 'C', 'G']",C
"['C', 'G', 'C']",F
"['G', 'C', 'F']",Dmin
"['C', 'F', 'Dmin']",G
"['F', 'Dmin', 'G']",Dmin
"['Dmin', 'G', 'Dmin']",G
"['G', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",G
"['G', 'C', 'G']",C
"['C', 'G', 'C']",F
"['G', 'C', 'F']",Dmin
"['C', 'F', 'Dmin']",G
"['F', 'Dmin', 'G']",Dmin
"['Dmin', 'G', 'Dmin']",G
